2024/10/27 15:41:18 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 15:41:58 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 15:45:07 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 16:02:56 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 16:09:50 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 16:18:03 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 16:26:45 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 16:33:04 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 16:57:21 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 18:12:13 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 18:14:30 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 18:17:28 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 18:26:20 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 18:30:54 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 18:49:07 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
2024/10/27 19:06:50 [ERROR] 2024-10-27T12:00:00Z | App: MyApp | Severity: Critical | Message: Null pointer exception
